IOS4quWunuS+iw== |||  个实例 |||  instances
IOS4quebruaghw== |||  个目标 |||  targets
IOS4que7k+aenA== |||  个结果 |||  results
IOS/neWtmOWksei0pQ== |||  保存失败 |||  Save failed
IOWIhuWJsuWIsCA= |||  分割到  |||  Split to 
IOWIhuexu+WIsCA= |||  分类到  |||  Classified to 
IOWPsOiuvuWkhw== |||  台设备 |||  devices
IOWkhOeQhuW8guW4uDog |||  处理异常:  |||  Process exception: 
IOWujOaIkOivreS5ieWIhuWJsg== |||  完成语义分割 |||  Complete semantic segmentation
IOW3suWPkeW4g++8jOS4jeiDveWIoOmZpA== |||  已发布，不能删除 |||  Published, cannot be deleted
IOW8oOS6uuiEuA== |||  张人脸 |||  faces
IOagh+azqOaVsOaNrumbhlxu |||  标注数据集\n |||  Annotation dataset\n
IOajgOa1i+WIsCA= |||  检测到  |||  Detected 
IOajgOa1i+WIsOWnv+aAgQ== |||  检测到姿态 |||  Detected posture
IOeKtuaAgeS4jeWFgeiuuOWPkeW4gw== |||  状态不允许发布 |||  Status does not allow publishing
IOmqjOivgeWksei0pQ== |||  验证失败 |||  Verification failed
IyAtIGltYWdlcy90cmFpbi8gKOiuree7g+WbvueJhylcbg== ||| # - images/train/ (训练图片)\n ||| # - images/train/ (Training images)\n
IyAtIGltYWdlcy92YWwvICjpqozor4Hlm77niYcpXG4= ||| # - images/val/ (验证图片)\n ||| # - images/val/ (Validation images)\n
IyAtIGxhYmVscy90cmFpbi8gKOiuree7g+agh+azqClcbg== ||| # - labels/train/ (训练标注)\n ||| # - labels/train/ (Training annotations)\n
IyAtIGxhYmVscy92YWwvICjpqozor4HmoIfms6gpXG4= ||| # - labels/val/ (验证标注)\n ||| # - labels/val/ (Validation annotations)\n
IyBZT0xP5pWw5o2u6ZuG6YWN572u5paH5Lu2XG4= ||| # YOLO数据集配置文件\n ||| # YOLO dataset configuration file\n
IyDliJvlu7rml7bpl7Q6IA== ||| # 创建时间:  ||| # Creation time: 
IyDlrp7pmYXorq3nu4PpnIDopoHku6XkuIvnm67lvZXnu5PmnoTvvJpcbg== ||| # 实际训练需要以下目录结构：\n ||| # Actual training requires the following directory structure:\n
IyDmlbDmja7pm4bkv6Hmga9cbg== ||| # 数据集信息\n ||| # Dataset information\n
IyDmlbDmja7pm4bot6/lvoTphY3nva5cbg== ||| # 数据集路径配置\n ||| # Dataset path configuration\n
IyDmoIfms6jlkI3np7A6IA== ||| # 标注名称:  ||| # Annotation name: 
IyDms6jmhI/vvJrmraTphY3nva7mlofku7bku4XljIXlkKvln7rmnKzorr7nva5cbg== ||| # 注意：此配置文件仅包含基本设置\n ||| # Note: This configuration file only contains basic settings\n
IyDnsbvliKvphY3nva5cbg== ||| # 类别配置\n ||| # Class configuration\n
I2JsYWRl6YWN572uIFxu ||| #blade配置 \n ||| #blade configuration \n
I2JsYWRl6YWN572uXG4= ||| #blade配置\n ||| #blade configuration\n
I3JlZGlzIOWNleacuueOr+Wig+mFjee9rg== ||| #redis 单机环境配置 ||| #redis standalone environment configuration
I3JlZGlzIOmbhue+pOeOr+Wig+mFjee9rg== ||| #redis 集群环境配置 ||| #redis cluster environment configuration
KiBDb3B5cmlnaHQgKGMpIDIwMTgtMjA5OSwgQ2hpbGwgWmh1YW5nIOW6hOmqniAoYmxhZGVqYXZhQHFxLmNvbSkuDQogKiA8cD4NCiAqIExpY2Vuc2VkIHVuZGVyIHRoZSBHTlUgTEVTU0VSIEdFTkVSQUwgUFVCTElDIExJQ0VOU0UgMy4wOw0KICogeW91IG1heSBub3QgdXNlIHRoaXMgZmlsZSBleGNlcHQgaW4gY29tcGxpYW5jZSB3aXRoIHRoZSBMaWNlbnNlLg0KICogWW91IG1heSBvYnRhaW4gYSBjb3B5IG9mIHRoZSBMaWNlbnNlIGF0DQogKiA8cD4NCiAqIGh0dHA6Ly93d3cuZ251Lm9yZy9saWNlbnNlcy9sZ3BsLmh0bWwNCiAqIDxwPg0KICogVW5sZXNzIHJlcXVpcmVkIGJ5IGFwcGxpY2FibGUgbGF3IG9yIGFncmVlZCB0byBpbiB3cml0aW5nLCBzb2Z0d2FyZQ0KICogZGlzdHJpYnV0ZWQgdW5kZXIgdGhlIExpY2Vuc2UgaXMgZGlzdHJpYnV0ZWQgb24gYW4gIkFTIElTIiBCQVNJUywNCiAqIFdJVEhPVVQgV0FSUkFOVElFUyBPUiBDT05ESVRJT05TIE9GIEFOWSBLSU5ELCBlaXRoZXIgZXhwcmVzcyBvciBpbXBsaWVkLg0KICogU2VlIHRoZSBMaWNlbnNlIGZvciB0aGUgc3BlY2lmaWMgbGFuZ3VhZ2UgZ292ZXJuaW5nIHBlcm1pc3Npb25zIGFuZA0KICogbGltaXRhdGlvbnMgdW5kZXIgdGhlIExpY2Vuc2UuDQogKg== ||| * Copyright (c) 2018-2099, Chill Zhuang 庄骞 (bladejava@qq.com).\r\n * <p>\r\n * Licensed under the GNU LESSER GENERAL PUBLIC LICENSE 3.0;\r\n * you may not use this file except in compliance with the License.\r\n * You may obtain a copy of the License at\r\n * <p>\r\n * http://www.gnu.org/licenses/lgpl.html\r\n * <p>\r\n * Unless required by applicable law or agreed to in writing, software\r\n * distributed under the License is distributed on an "AS IS" BASIS,\r\n * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\r\n * See the License for the specific language governing permissions and\r\n * limitations under the License.\r\n * ||| * Copyright (c) 2018-2099, Chill Zhuang 庄骞 (bladejava@qq.com).\r\n * <p>\r\n * Licensed under the GNU LESSER GENERAL PUBLIC LICENSE 3.0;\r\n * you may not use this file except in compliance with the License.\r\n * You may obtain a copy of the License at\r\n * <p>\r\n * http://www.gnu.org/licenses/lgpl.html\r\n * <p>\r\n * Unless required by applicable law or agreed to in writing, software\r\n * distributed under the License is distributed on an "AS IS" BASIS,\r\n * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\r\n * See the License for the specific language governing permissions and\r\n * limitations under the License.\r\n *
LCDpgJ/luqY6IA== ||| , 速度:  ||| , speed: 
Ly9zYWJlcumFjee9rlxu ||| //saber配置\n ||| //saber configuration\n
MS3mmK/vvIwwLeWQpg== ||| 1-是，0-否 ||| 1-Yes, 0-No
MS4g5p+l6K+i6K+l5Zu+54mH55qE5omA5pyJ5qCH5rOo5a6e5L6L ||| 1. 查询该图片的所有标注实例 ||| 1. Query all annotation instances of the image
MTDliIbpkp/ml6DmtLvliqjoh6rliqjmuIXnkIY= ||| 10分钟无活动自动清理 ||| Automatically clean up after 10 minutes of inactivity
MeWwj+aXtg== ||| 1小时 ||| 1 hour
Mi4g57uf6K6h5q+P5Liq5qCH562+55qE5L2/55So5qyh5pWw77yM55So5LqO5ZCO57ut5pu05paw5qCH562+6K6h5pWw ||| 2. 统计每个标签的使用次数，用于后续更新标签计数 ||| 2. Count the usage times of each label for subsequent updates of label count
MjTlsI/ml7bliLY= ||| 24小时制 ||| 24-hour format
My4g5Yig6Zmk5omA5pyJ5qCH5rOo5a6e5L6L ||| 3. 删除所有标注实例 ||| 3. Delete all annotation instances
MzDnp5LotoXml7Y= ||| 30秒超时 ||| 30 seconds timeout
NC4g5Yig6Zmk5Zu+54mH6K6w5b2V77yIYW5ub3RhdGlvbl9pbWFnZeihqO+8iQ== ||| 4. 删除图片记录（annotation_image表） ||| 4. Delete image record (annotation_image table)
NS4g5pu05paw5qCH562+5L2/55So6K6h5pWw77yIYW5ub3RhdGlvbl9sYWJlbOihqO+8iQ== ||| 5. 更新标签使用计数（annotation_label表） ||| 5. Update label usage count (annotation_label table)
PT09IOW8gOWni+iuree7g+S7u+WKoSA9PT0= ||| === 开始训练任务 === ||| === Start training task ===
PT09PT09PT09PT0gYmxhZGUudG9rZW4uc2lnbi1rZXkg6YWN572u5aaC5LiLID09PT09PT09PT09PT09 ||| =========== blade.token.sign-key 配置如下 ============== ||| =========== blade.token.sign-key configuration is as follows ==============
PT09PT09PT09PT09PT0gc2FiZXIgd2Vic2l0ZS5qcyDphY3nva7lpoLkuIsgPT09PT09PT09PT09PT09 ||| ============== saber website.js 配置如下 =============== ||| ============== saber website.js configuration is as follows ===============
PT09PT09PT09PT09PT0g5a+G56CBOlthZG1pbl0g5Yqg5a+G5rWB56iL5aaC5LiLID09PT09PT09PT09PT09PT0= ||| ============== 密码:[admin] 加密流程如下 ================ ||| ============== Password:[admin] encryption workflow is as follows ================
PT09PT09PT09PT09PT09PSBibGFkZS5hdXRoIOmFjee9ruWmguS4iyA9PT09PT09PT09PT09PT09PQ== ||| ================ blade.auth 配置如下 ================= ||| ================ blade.auth configuration is as follows =================
PT09PT09PT09PT09PT09PT09PT0g6K6+5aSH5qCH562+55u45YWz5o6l5Y+jID09PT09PT09PT09PT09PT09PT09 ||| ==================== 设备标签相关接口 ==================== ||| ==================== Device tag related interfaces ====================
QGF1dGhvciDliJjpkas= ||| @author 刘鑫 ||| @author Liu Xin
QHBhcmFtIGFjY291bnQgICAg6LSm5Y+3 ||| @param account    账号 ||| @param account    account
QHBhcmFtIGFsZ29yaXRobSDnrpfms5Xkv6Hmga8= ||| @param algorithm 算法信息 ||| @param algorithm algorithm information
QHBhcmFtIGFsZ29yaXRobUlkIOeul+azlUlE ||| @param algorithmId 算法ID ||| @param algorithmId algorithm ID
QHBhcmFtIGFsZ29yaXRobVRyYWluaW5nIOeul+azleiuree7g+S7u+WKoQ== ||| @param algorithmTraining 算法训练任务 ||| @param algorithmTraining algorithm training task
QHBhcmFtIGFsbFRhZ3Mg5omA5pyJ5qCH562+ ||| @param allTags 所有标签 ||| @param allTags all tags
QHBhcmFtIGFubm90YXRlZENvdW50IOW3suagh+azqOaVsOmHjw== ||| @param annotatedCount 已标注数量 ||| @param annotatedCount annotated quantity
QHBhcmFtIGFubm90YXRpb24g5qCH5rOo5L+h5oGv ||| @param annotation 标注信息 ||| @param annotation annotation information
