566X5rOV5o+P6L+w ||| 算法描述 ||| Algorithm description
566X5rOV5pWw6YeP5Yi35paw5oiQ5Yqf ||| 算法数量刷新成功 ||| Algorithm count refreshed successfully
566X5rOV5pu05paw5aSx6LSl ||| 算法更新失败 ||| Algorithm update failed
566X5rOV5pu05paw5oiQ5Yqf ||| 算法更新成功 ||| Algorithm update successfully
566X5rOV5qCH5rOo5pWw5o2u6KGo ||| 算法标注数据表 ||| Algorithm annotation data table
566X5rOV5qCH5rOo5pWw5o2u6KGoIEV4Y2Vs5a6e5L2T57G7 ||| 算法标注数据表 Excel实体类 ||| Algorithm annotation data table Excel entity class
566X5rOV5qCH5rOo5pWw5o2u6KGoIE1hcHBlciDmjqXlj6M= ||| 算法标注数据表 Mapper 接口 ||| Algorithm annotation data table Mapper interface
566X5rOV5qCH5rOo5pWw5o2u6KGoIOS/ruaUuQ== ||| 算法标注数据表 修改 ||| Modify algorithm annotation data table
566X5rOV5qCH5rOo5pWw5o2u6KGoIOWIhumhtQ== ||| 算法标注数据表 分页 ||| Algorithm annotation data table paging
566X5rOV5qCH5rOo5pWw5o2u6KGoIOWIoOmZpA== ||| 算法标注数据表 删除 ||| Delete algorithm annotation data table
566X5rOV5qCH5rOo5pWw5o2u6KGoIOWMheijheexuyzov5Tlm57op4blm77lsYLmiYDpnIDnmoTlrZfmrrU= ||| 算法标注数据表 包装类,返回视图层所需的字段 ||| Algorithm annotation data table wrapper class, returning fields required by the view layer
566X5rOV5qCH5rOo5pWw5o2u6KGoIOWunuS9k+exuw== ||| 算法标注数据表 实体类 ||| Algorithm annotation data table entity class
566X5rOV5qCH5rOo5pWw5o2u6KGoIOaOp+WItuWZqA== ||| 算法标注数据表 控制器 ||| Algorithm annotation data table controller
566X5rOV5qCH5rOo5pWw5o2u6KGoIOaVsOaNruS8oOi+k+WvueixoeWunuS9k+exuw== ||| 算法标注数据表 数据传输对象实体类 ||| Algorithm annotation data table data transfer object entity class
566X5rOV5qCH5rOo5pWw5o2u6KGoIOaWsOWing== ||| 算法标注数据表 新增 ||| Add algorithm annotation data table
566X5rOV5qCH5rOo5pWw5o2u6KGoIOaWsOWinuaIluS/ruaUuQ== ||| 算法标注数据表 新增或修改 ||| Add or modify algorithm annotation data table
566X5rOV5qCH5rOo5pWw5o2u6KGoIOacjeWKoeWunueOsOexuw== ||| 算法标注数据表 服务实现类 ||| Algorithm annotation data table service implementation class
566X5rOV5qCH5rOo5pWw5o2u6KGoIOacjeWKoeexuw== ||| 算法标注数据表 服务类 ||| Algorithm annotation data table service class
